Akita|117,55
Ominato|119,54
Asahikawa|121,51
Fukuoka|103,57
Hakodate|119,53
Hamamatsu|111,61
Hiroshima/Kure|106,58
Kagoshima|102,60
Kanazawa|111,57
Kobe|108,59
Kochi|106,60
Kofu|113,60
Kumamoto|102,59
Kushiro|123,53
Maebashi|113,59
Maizuru|110,58
Matsue|107,57
Matsuyama|105,59
Muroran|120,52
Nagaoka|114,58
Nagasaki/Sasebo|102,58
Nagoya|111,60
Niigata|114,57
Okayama|108,58
Osaka/Kyoto|109,59
Sapporo|120,51
Sendai|117,58
Shimizu|112,61
Shimonoseki|104,57
Takamatsu|107,59
Tokyo|114,60
Toyama|112,57
Tsu|110,60
Wakayama|109,60
Wakkanai|122,48
Yokohama/Yokosuka|113,61
Yamagata|116,57
Iwaki|116,59
Hirosaki/Aomori|118,54
Aogashima|112,65
Chichi-jima|111,74
Fukue-jima|101,58
Hachijo-jima|113,64
Iwo-jima|108,77
Izu Oshima|113,62
Koshiki-jima Retto|101,60
Kuroshima|100,61
Miyake-jima|112,63
Nakadori-jima|101,57
Oki Shoto|108,56
Sadogashima|114,56
Tokara Retto|100,62
Torishima|111,68
Tsushima|103,56
Yakushima|101,62
Amami Oshima|98,64
Daito Shoto|98,69
Iriomote|89,65
Ishigaki|90,66
Kume-jima|94,65
Miyako-jima|91,66
Nago|95,65
Naha|95,66
Okinoerabushima|96,65
Tanegashima|102,62
Tokunoshima|97,65
Etorofu|128,52
Ketoi-jima|134,50
Kunashiri|125,52
Onnekotan-jima|136,48
Paramushiro-jima|137,47
Shikuka|126,43
Shimushiri-jima|132,51
Toyohara|124,46
Uruppu-jima|130,52
Chinnampo|102,47
Rashin|110,46
Fusan|103,55
Genzan|105,48
Gunzan|102,52
Heijo|103,47
Kaishu|102,48
Keijo|103,50
Seishin|109,46
Kanko|105,47
Taiden|103,52
Taikyu|103,53
Masan|102,54
Moppo|100,54
Saishu To|99,55
Ulleungdo|107,52
Hengchun|84,67
Karenko|87,64
Orchid Island|85,67
Pescadores|84,63
Taichu|86,64
Taihoku|87,63
Takao|84,65
Anshan|102,43
Arshaan|105,33
Changchun|106,41
Chihfeng|100,38
Chinchow|101,41
Fuchin|115,41
Fushun|105,42
Fusin|102,40
Hailar|107,30
Hailun|111,37
Harbin|109,39
Heiho|113,33
Jehol|97,39
Kiamusze|113,40
Kirin|108,42
Liaoyuan|105,40
Linhsi|100,36
Mishan|114,42
Moho|112,27
Mukden|104,42
Mutankiang|111,42
Nunkiang|111,34
Port Arthur|99,44
Shanhaiguan|99,42
Sunwu|113,34
Taonan|107,38
Tsitsihar|109,36
Yingkow|101,43
Amoy|83,61
Anking|88,52
Antung|102,45
Anyang|89,43
Canton|77,59
Chaochow|81,61
Chefoo|98,46
Chengting|92,40
Foochow|86,60
Haichow|93,48
Hangchow|90,55
Hankow|85,50
Hwainan|89,50
Ichang|83,48
Kaifeng|89,44
Kalgan|95,37
Kaoping|89,42
Kiangtu|91,51
Kiukiang|85,53
Kweisui|92,35
